ArtefactID,MusAcc,SiteName,AdminRegion,Length,Weight,Country
187,National Museums Scotland NMS : DA 59,Culbin Sands,"Moray, Scotland",152,530,Scotland
190,Elgin Museum ELGNM : 1865.1,Goatcraig,"Moray, Scotland",129,330,Scotland
191,National Museums Scotland NMS : DA 101,Milton Moss,"Moray, Scotland",130,475,Scotland
192,Forres Museum FOREM : unknown,Burgie Hill,"Moray, Scotland",123,200,Scotland
193,Elgin Museum ELGNM : 1874.9,Duffus,"Moray, Scotland",154,300,Scotland
195,Elgin Museum ELGNM : 1872.3,Roseisle,"Moray, Scotland",108,320,Scotland
196,Elgin Museum ELGNM : 1953.24,"unprovenanced, Morayshire","Moray, Scotland",128,250,Scotland
198,Forres Museum FOREM : unknown,Birnie (parish),"Moray, Scotland",141,460,Scotland
200,British Museum BM : WG.1797,Lhanbryde,"Moray, Scotland",149,504.2,Scotland
201,National Museums Scotland NMS : DA 84,Lhanbryde,"Moray, Scotland",155,855,Scotland
202,National Museums Scotland NMS : DA 72,Lhanbryde,"Moray, Scotland",117,260,Scotland
204,Elgin Museum ELGNM : 1897.1,"Newfield, Urquhart","Moray, Scotland",137,440,Scotland
206,Elgin Museum ELGNM : 1943.1,Elgin (near),"Moray, Scotland",110,140,Scotland
207,National Museums Scotland NMS : DA 26,Tarland,"Aberdeenshire, Scotland",136,400,Scotland
208,University of Aberdeen (formerly Marischal Museum) ABDUA : 243.2,Tarland,"Aberdeenshire, Scotland",117,240,Scotland
209,University of Aberdeen (formerly Marischal Museum) ABDUA : 19628,Ardhuncart,"Aberdeenshire, Scotland",143,460,Scotland
210,University of Aberdeen (formerly Marischal Museum) ABDUA : 19629,Ardhuncart,"Aberdeenshire, Scotland",149,580,Scotland
212,National Museums Scotland NMS : DA 103,Upper Towie,"Aberdeenshire, Scotland",179,645,Scotland
213,National Museums Scotland NMS : DA 106,"Howbog, The Cabrach","Moray, Scotland",123,355,Scotland
214,National Museums Scotland NMS : DQ 312,Finglenny Hill,"Aberdeenshire, Scotland",134,325,Scotland
215,National Museums Scotland NMS : DQ 313,Finglenny Hill,"Aberdeenshire, Scotland",140,475,Scotland
216,National Museums Scotland NMS : DQ 311,Finglenny Hill,"Aberdeenshire, Scotland",145,440,Scotland
217,National Museums Scotland NMS : DQ 309,Finglenny Hill,"Aberdeenshire, Scotland",160,425,Scotland
218,National Museums Scotland NMS : DQ 310,Finglenny Hill,"Aberdeenshire, Scotland",91,475,Scotland
219,National Museums Scotland NMS : DQ 308,Finglenny Hill,"Aberdeenshire, Scotland",155,440,Scotland
220,National Museums Scotland NMS : DQ 307,Finglenny Hill,"Aberdeenshire, Scotland",174,630,Scotland
221,University of Aberdeen (formerly Marischal Museum) ABDUA : 247.13,Hill Park Farm,"Moray, Scotland",109,280,Scotland
222,University of Aberdeen (formerly Marischal Museum) ABDUA : 15636,Oyne,"Aberdeenshire, Scotland",102,210,Scotland
227,National Museums Scotland NMS : DA 20,Colleonard,"Aberdeenshire, Scotland",150,400,Scotland
228,National Museums Scotland NMS : DA 25,Colleonard,"Aberdeenshire, Scotland",140,255,Scotland
229,National Museums Scotland NMS : DA 19,Colleonard,"Aberdeenshire, Scotland",142,390,Scotland
230,National Museums Scotland NMS : DA 22,Colleonard,"Aberdeenshire, Scotland",135,370,Scotland
231,National Museums Scotland NMS : DA 21,Colleonard,"Aberdeenshire, Scotland",130,355,Scotland
232,National Museums Scotland NMS : DA 24,Colleonard,"Aberdeenshire, Scotland",170,525,Scotland
234,National Museums Scotland NMS : DA 44,Kintore,"Aberdeenshire, Scotland",126,300,Scotland
235,University of Aberdeen (formerly Aberdeen Regional Museum) ABDUA : 1948.17.1,Kintore,"Aberdeenshire, Scotland",127,390,Scotland
236,University of Aberdeen (formerly Marischal Museum) ABDUA : 247.14,Kintore,"Aberdeenshire, Scotland",159,630,Scotland
237,University of Aberdeen (formerly Aberdeen Regional Museum) ABDUA : 1948.17.2,Kintore,"Aberdeenshire, Scotland",108,160,Scotland
238,National Museums Scotland NMS : DA 102,Fetternear,"Aberdeenshire, Scotland",141,420,Scotland
239,National Museums Scotland NMS : DA 63,Glack,"Aberdeenshire, Scotland",129,325,Scotland
240,Museum of Farnham WAVMS : unknown,Fyvie,"Aberdeenshire, Scotland",112,226,Scotland
242,University of Aberdeen (formerly Marischal Museum) ABDUA : 19627 (formerly 241),Bog of Fintray,"Aberdeenshire, Scotland",135,300,Scotland
243,University of Aberdeen (formerly Aberdeen Regional Museum) ABDUA : 1952.10.4,Oldmeldrum,"Aberdeenshire, Scotland",104,240,Scotland
245,National Museums Scotland NMS : DA 92,Newseat of Ardo,"Aberdeenshire, Scotland",150,580,Scotland
246,National Museums Scotland NMS : DA 91,Collynie,"Aberdeenshire, Scotland",112,165,Scotland
247,University of Aberdeen (formerly Aberdeen Regional Museum) ABDUA : 1964.6.1,"Kincorth, 24 Covenanters Road","Aberdeen, Scotland",123,360,Scotland
248,University of Aberdeen (formerly Aberdeen Regional Museum) ABDUA : 1967.6.1,Hatton,"Aberdeenshire, Scotland",131,300,Scotland
249,National Museums Scotland NMS : DA 112,"Du Bhar, Glengorm, Mull","Argyll and Bute, Scotland",142,400,Scotland
250,National Museums Scotland NMS : DA 70,"Glen Forsa, Mull","Argyll and Bute, Scotland",146,475,Scotland
251,National Museums Scotland NMS : DA 52,"Lady Margaret's Cave, Ardgour House","Highland, Scotland",144,375,Scotland
254,"West Highland Museum, Fort William FOWWH : L.109",Allt A' Chrois,"Highland, Scotland",130,350,Scotland
256,Perth Museum and Art Gallery PERGM : 1990.217.1,Bunrannoch/Innerhadden,"Perth and Kinross, Scotland",97,202.6,Scotland
257,Perth Museum and Art Gallery PERGM : 1990.217.2,Bunrannoch/Innerhadden,"Perth and Kinross, Scotland",108,224.4,Scotland
258,Perth Museum and Art Gallery PERGM : 1990.217.3,Bunrannoch/Innerhadden,"Perth and Kinross, Scotland",131,233.7,Scotland
259,Perth Museum and Art Gallery PERGM : 1990.217.4,Bunrannoch/Innerhadden,"Perth and Kinross, Scotland",135,252,Scotland
260,"Kelvingrove Art Gallery and Museum, Glasgow GLAMG : A.1953.37",Bentick,"Perth and Kinross, Scotland",106,250,Scotland
262,National Museums Scotland NMS : DA 111,Bracobrae,"Perth and Kinross, Scotland",144,400,Scotland
263,National Museums Scotland NMS : DA 58,Pitlochry,"Perth and Kinross, Scotland",120,445,Scotland
264,Blair Castle,Newtyle Hill,"Angus, Scotland",161,600,Scotland
267,National Museums Scotland NMS : DC 76,Perth (near),"Perth and Kinross, Scotland",109,160,Scotland
269,National Museums Scotland NMS : DA 96,Wolfhill,"Perth and Kinross, Scotland",130,425,Scotland
270,Perth Museum and Art Gallery PERGM : 122A,"Wolfhill, Redford Farm","Perth and Kinross, Scotland",119,315,Scotland
271,"Kelvingrove Art Gallery and Museum, Glasgow GLAMG : LA.5737a","Lethendy Meikleour, Cranley Farm","Perth and Kinross, Scotland",168,480,Scotland
275,National Museums Scotland NMS : DA 62,Abdie (parish),"Fife, Scotland",150,475,Scotland
276,National Museums Scotland NMS : DA 61,Abdie (parish),"Fife, Scotland",168,525,Scotland
278,Perth Museum and Art Gallery PERGM : 122,Baldowrie Farm,"Perth and Kinross, Scotland",153,510,Scotland
279,National Museums Scotland NMS : DA 104,Kirriemuir,"Angus, Scotland",157,360,Scotland
280,"McManus Museum and Art Gallery, Dundee DUNMG : 1964-16",Nether Drumshade,"Angus, Scotland",143,540,Scotland
282,National Museums Scotland NMS : DA 76,Largo,"Fife, Scotland",127,450,Scotland
283,"McManus Museum and Art Gallery, Dundee DUNMG : 1964-17-1",Monikie,"Angus, Scotland",122,220,Scotland
284,"McManus Museum and Art Gallery, Dundee DUNMG : 1954-183","Dundee, Burrelton","Dundee, Scotland",170,545,Scotland
285,National Museums Scotland NMS : DA 34,"Forfar, Castle Hill","Angus, Scotland",130,185,Scotland
286,National Museums Scotland NMS : DA 36,Dunino,"Fife, Scotland",115,215,Scotland
287,British Museum BM : WG.1799,Kirkton of Menmuir,"Angus, Scotland",107,134.9,Scotland
288,National Museums Scotland NMS : DA 51,Aboyne,"Aberdeenshire, Scotland",102,220,Scotland
291,Montrose Museum 64,Stracathro,"Angus, Scotland",126,230,Scotland
292,Montrose Museum 63,Stracathro,"Angus, Scotland",120,190,Scotland
293,"Ashmolean Museum, Oxford OXFAS : 1927.2718",Potarch,"Aberdeenshire, Scotland",141,68,Scotland
295,National Museums Scotland NMS : DA 79,Arbuthnott,"Aberdeenshire, Scotland",130,245,Scotland
297,National Museums Scotland NMS : DA 49,Durris (parish),"Aberdeenshire, Scotland",145,540,Scotland
298,University of Aberdeen (formerly Marischal Museum) ABDUA : 247.11,Durris (parish),"Aberdeenshire, Scotland",183,830,Scotland
300,University of Aberdeen (formerly Marischal Museum) ABDUA : 19637 (formerly 247.25),Muchalls,"Aberdeenshire, Scotland",138,400,Scotland
301,Campbeltown Museum CAPTM : unknown,Gortan Moss,"Argyll and Bute, Scotland",151,480,Scotland
304,National Museums Scotland NMS : DA 119,Glenrickard Forest,"North Ayrshire, Scotland",150,435,Scotland
305,National Museums Scotland NMS : L.1950.4,Port Murray (The Maidens),"South Ayrshire, Scotland",138,470,Scotland
306,National Museums Scotland NMS : L.1950.4,Port Murray (The Maidens),"South Ayrshire, Scotland",110,265,Scotland
307,National Museums Scotland NMS : L.1950.4,Port Murray (The Maidens),"South Ayrshire, Scotland",121,300,Scotland
308,National Museums Scotland NMS : L.1950.4,Port Murray (The Maidens),"South Ayrshire, Scotland",90,70,Scotland
309,National Museums Scotland NMS : L.1950.4,Port Murray (The Maidens),"South Ayrshire, Scotland",95,110,Scotland
311,"British Museum BM : 1891,0514.59",Kilmacolm,"Inverclyde, Scotland",107,205,Scotland
312,"Kelvingrove Art Gallery and Museum, Glasgow GLAMG : 47.98.bl","Glasgow, Cathcart, Stean Street","Glasgow, Scotland",131,460,Scotland
314,National Museums Scotland NMS : DA 31,Inchnadamph,"Highland, Scotland",150,460,Scotland
315,National Museums Scotland NMS : DA 118,"Peat Hill, Elvanfoot","South Lanarkshire, Scotland",100,155,Scotland
316,National Museums Scotland NMS : DA 11,Wintermuir Hill,"South Lanarkshire, Scotland",159,410,Scotland
317,National Museums Scotland NMS : DA 12,Coulter,"South Lanarkshire, Scotland",134,395,Scotland
319,National Museums Scotland NMS : DA 68,Harlaw Muir,"Scottish Borders, Scotland",143,360,Scotland
320,National Museums Scotland NMS : DA 30,North Plot Hill,"Edinburgh, Scotland",151,470,Scotland
321,"Kelvingrove Art Gallery and Museum, Glasgow GLAMG : 02.73.kg",Peebles?,"Scottish Borders, Scotland",151,180,Scotland
322,National Museums Scotland NMS : DA 7,Lawhead Farm,"Midlothian, Scotland",338,2000,Scotland
323,National Museums Scotland NMS : DC 40,"unprovenanced, Midlothian","Midlothian, Scotland",115,235,Scotland
324,National Museums Scotland NMS : L.1929.4,"unprovenanced, Midlothian?","Midlothian, Scotland",152,505,Scotland
326,National Museums Scotland NMS : DA 6,"Ravelston, Corstorphine Hill","Edinburgh, Scotland",174,705,Scotland
328,National Museums Scotland NMS : DA 74,"Innerleithen, The Lee","Scottish Borders, Scotland",150,435,Scotland
329,National Museums Scotland NMS : DA 2,"Mountskip, Vogrie","Midlothian, Scotland",153,500,Scotland
332,National Museums Scotland NMS : L.1933.2107,Minto,"Scottish Borders, Scotland",159,770,Scotland
336,National Museums Scotland NMS : DA 81,Muircleugh,"Scottish Borders, Scotland",120,330,Scotland
338,National Museums Scotland NMS : DA 29,Camptoun,"East Lothian, Scotland",117,280,Scotland
339,National Museums Scotland NMS : DA 28,Camptoun,"East Lothian, Scotland",145,330,Scotland
340,National Museums Scotland NMS : DA 4,Waughton,"East Lothian, Scotland",169,635,Scotland
341,"Hunterian Museum, Glasgow GLAHM : B.1914.268",Scraesburgh,"Scottish Borders, Scotland",138,400,Scotland
342,National Museums Scotland NMS : DA 77,Lilliardsedge,"Scottish Borders, Scotland",116,240,Scotland
343,National Museums Scotland NMS : DA 82,"Greenlees, Spottiswood","Scottish Borders, Scotland",180,610,Scotland
345,"Hunterian Museum, Glasgow GLAHM : B.1951.530",Fogorig,"Scottish Borders, Scotland",127,350,Scotland
347,Stranraer Museum WIWMS : 1964.9,Boreland,"Dumfries and Galloway, Scotland",175.5,910,Scotland
348,Stranraer Museum WIWMS : 1964.8,Boreland,"Dumfries and Galloway, Scotland",180,980,Scotland
349,"Wigtown County Museum, Stranraer WIWMS : 1964.10",Innermessan,"Dumfries and Galloway, Scotland",164,540,Scotland
350,Stranraer Museum WIWMS : 1947.2,Glenstockadale,"Dumfries and Galloway, Scotland",144,330,Scotland
351,Stranraer Museum WIWMS : 1947.1,Glenstockadale,"Dumfries and Galloway, Scotland",179,390,Scotland
352,National Museums Scotland NMS : DA 35,Moss of Cree,"Dumfries and Galloway, Scotland",130,275,Scotland
353,National Museums Scotland NMS : DA 99,Brockloch,"Dumfries and Galloway, Scotland",145,365,Scotland
355,Dumfries Museums Service DUMFM : 1934.55,Drum,"Dumfries and Galloway, Scotland",155,480,Scotland
356,National Museums Scotland NMS : DA 88,Brockhillstone,"Dumfries and Galloway, Scotland",154,485,Scotland
357,Dumfries Museums Service DUMFM : 1960.78,Steilston,"Dumfries and Galloway, Scotland",143,360,Scotland
358,"Ashmolean Museum, Oxford OXFAS : 1927.2712",Drumlanrig,"Dumfries and Galloway, Scotland",188,115,Scotland
359,National Museums Scotland NMS : DA 65,Airds,"Dumfries and Galloway, Scotland",147,505,Scotland
360,National Museums Scotland NMS : DA 67,Mainshead (smallholdings),"Dumfries and Galloway, Scotland",137,340,Scotland
361,Dumfries Museums Service DUMFM : 1958.52,Trohoughton,"Dumfries and Galloway, Scotland",119,340,Scotland
362,Dumfries Museums Service DUMFM : 1948.30,Newfield,"Dumfries and Galloway, Scotland",155,700,Scotland
363,Dumfries Museums Service DUMFM : 1948.50,"Hayfield, Thornhill","Dumfries and Galloway, Scotland",162,320,Scotland
364,Perth Museum and Art Gallery PERGM : 1967.16,Glencarse,"Perth and Kinross, Scotland",165,640,Scotland
366,National Museums Scotland NMS : DA 78,Broubster,"Highland, Scotland",113,160,Scotland
367,Elgin Museum ELGNM : 1868.1a,Ladyhill,"Moray, Scotland",125,330,Scotland
368,Elgin Museum ELGNM : 1868.1b,Ladyhill,"Moray, Scotland",128,310,Scotland
369,Elgin Museum ELGNM : 1868.1d,Ladyhill,"Moray, Scotland",124,310,Scotland
370,Elgin Museum ELGNM : 1868.1e,Ladyhill,"Moray, Scotland",123,300,Scotland
371,Elgin Museum ELGNM : 1868.1c,Ladyhill,"Moray, Scotland",109,270,Scotland
374,private ownership,Stemster,"Highland, Scotland",107,232,Scotland
376,"Penlee House Gallery and Museum, Penzance PEZPH : 84/42","Paul, Penolva (Stitches Field)","Cornwall, England",88,210,England
377,"Royal Cornwall Museum, Truro TRURI : 1919.2",Penquite,"Cornwall, England",95,186.3,England
378,"Royal Cornwall Museum, Truro TRURI : 1990.51",Broadoak Downs,"Cornwall, England",17.25,577,England
379,Amgueddfa Cymru - National Museum Wales NMW : 27.201,"Llanfyrnach, Glogue, Bwlch Gwynt Farm","Pembrokeshire, Wales",136,204,Wales
384,Carmarthen Museum CAASG : A.76.1332 (Aberystwyth Museum),"Llansantffraid, Rhydtorth Uchaf Farm","Ceredigion, Wales",173,373,Wales
385,Plymouth City Museum and Art Gallery PLYMG : 379,"Bridestowe, Burley Camp","Devon, England",110,325,England
386,"Ashmolean Museum, Oxford OXFAS : 1927.2364","Swansea Railway Station, High Street","Swansea, Wales",100,176,Wales
388,Amgueddfa Cymru - National Museum Wales NMW : 22.548,"Dolwyddelan, Tan-y-bwlch Farm","Conwy, Wales",132.5,226,Wales
389,private ownership,"South Brent, Corringdon Farm","Devon, England",90,106,England
391,private ownership,Deganwy,"Gwynedd, Wales",113,430.9,Wales
393,Amgueddfa Cymru - National Museum Wales NMW : 79.49H,"Bala, 13 Mawnog Fach","Gwynedd, Wales",151,367,Wales
394,Amgueddfa Cymru - National Museum Wales NMW : 45.233,"Carno, Twr-gwyn Waun","Powys, Wales",191,677,Wales
395,Amgueddfa Cymru - National Museum Wales NMW : 58.460/9,"Llandderfel, Tŷ Uchaf Farm (400m NE of)","Gwynedd, Wales",105,256,Wales
396,"Royal Albert Memorial Museum, Exeter EXEMS : 38/1936","Halberton, Rowridge Farm","Devon, England",130,498,England
397,"Grosvenor Museum, Chester CHEGM : 30.P.1953","Cynwyd, Rhydyglafais","Gwynedd, Wales",183,560,Wales
398,Somerset County Museum (Taunton Castle) TTNCM : 80D,"Hayne, Old Cleeve","Somerset, England",124.5,524.6,England
399,Amgueddfa Cymru - National Museum Wales NMW : 33.180,"Llanwonno, Aberpennar, Y Garreg Siglo (Mountain Ash)","Rhondda Cynon Taf, Wales",109,316,Wales
401,"British Museum BM : 1875,0401.2","unprovenanced, Cambridgeshire","Cambridgeshire, England",141,363.4,England
406,Amgueddfa Cymru - National Museum Wales NMW : 55.427,"Ystradowen, Coed-y-tranches, Fforest Fawr Farm (N edge, 250m east of the Llanharry-Cowbridge road)","Vale of Glamorgan, Wales",162,421.8,Wales
407,Somerset County Museum (Taunton Castle) TTNCM : 81A,Hemyock (near Wellington Monument),"Somerset, England",141,371.1,England
408,Amgueddfa Cymru - National Museum Wales NMW : 95.34,Usk (near),"Monmouthshire, Wales",122,234,Wales
410,"Royal Albert Memorial Museum, Exeter EXEMS : A400","Southleigh, Cross Dyke and Blackbury Camp  (near)","Devon, England",116,205,England
411,Amgueddfa Cymru - National Museum Wales NMW : 31.62/1,"unprovenanced, Montgomeryshire (misattributed to Guilsfield hoard)","Powys, Wales",148,393,Wales
412,Somerset County Museum (Taunton Castle) TTNCM : 1B,"Staple Fitzpaine, Castle Neroche","Somerset, England",112.5,238,England
413,Somerset County Museum (Taunton Castle) TTNCM : unknown,"unprovenanced, Somerset","Somerset, England",155,628,England
414,"Ashmolean Museum, Oxford OXFAS : 1927.2365","unprovenanced, Somerset?","Somerset, England",127,329,England
417,Wells and Mendip Museum WELWM : 1990.957,"Cheddar, Slitter Cave","Somerset, England",109,355,England
421,private ownership,"Thurnham, Chapel Hill","Lancashire, England",150.5,316.5,England
424,Dorset County Museum DORCM : 1892.30.1,"Winterbourne Steepleton, Glebe Farm","Dorset, England",166,425,England
425,Shropshire Museums Service SHYMS : A.2003.037 (B56),"Preston-on-the-Weald Moors (?Crow Brook, field 20 yards SE of the culvert where the main road crosses from Kingley Wood to Preston)","Telford and Wrekin, England",175,599,England
427,Dorset County Museum DORCM : 1885.16.2,"Weymouth, Jordan Hill","Dorset, England",58,96,England
430,"British Museum BM : 1964,1206.11",Lansdown,"Bath and North East Somerset, England",136,436.2,England
431,British Museum BM : unknown (Towneley Collection),"Whalley, Read","Lancashire, England",203,887,England
432,Bath Royal Literary and Scientific Institution BRLSI : unknown,"Batheaston, Bannerdown","Somerset, England",87.8,83,England
433,private ownership,"Claines, Bevere Island (River Severn, 3 miles N of Worcester)","Worcestershire, England",106,198,England
435,Dorset County Museum DORCM : 0.51.1,"Bere Regis, Muddox Barrow (near)","Dorset, England",109.5,183,England
436,British Museum BM : WG.1809,Ryall,"Northumberland, England",151,394.7,England
437,"Society of Antiquaries, London LDSAL : B26",Whittington,"Gloucestershire, England",138.5,347.3,England
439,"Potteries Museum and Art Gallery, Hanley STKMG : 28.1974","Brownedge, Henridding","Staffordshire, England",164,508,England
442,Alnwick Castle Museum ALWAM : 190,Corbridge (near),"Northumberland, England",152,355,England
443,Alnwick Castle Museum ALWAM : 191,Corbridge (near),"Northumberland, England",125,174,England
444,"Cliffe Castle Museum, Keighley BRFMS : 7365","Cowling, Ickornshaw Moor","North Yorkshire, England",84,284,England
448,Alnwick Castle Museum ALWAM : 189,"Percy's Leap (near), Hedgeley Moor","Northumberland, England",118,319,England
450,"Hunterian Museum, Glasgow GLAHM : B.1914.269 (formerly B11)","Hartington Upper Quarter, Hindlow","Derbyshire, England",132,413.4,England
454,"British Museum BM : 1964,1206.12",Parwich Moor,"Derbyshire, England",175.5,599.2,England
455,British Museum BM : WG.1804,Alnwick (near),"Northumberland, England",138,382.1,England
458,private ownership,Highlow,"Derbyshire, England",160,440,England
459,private ownership,Highlow,"Derbyshire, England",172,570,England
461,private ownership,"Birchover, Barn Farm","Derbyshire, England",146,283.5,England
463,"Weston Park Museum, Sheffield SHEFG : J93.474","Beeley, Burnt Wood","Derbyshire, England",133.5,198,England
464,"Weston Park Museum, Sheffield SHEFG : J93.475","Darley Dale, Oker Hill","Derbyshire, England",101,361,England
471,Cheltenham Art Gallery and Museum CHLGM : 1980:2182,"Oddington, Thornes Farm (near), Oaklands","Gloucestershire, England",152.5,482.7,England
473,Reading Museum REDMG : AL.44,Cholsey Church?,"Oxfordshire, England",128,347.31,England
474,private ownership,Clay Coton (in a pasture field just north of Manor House),"Northamptonshire, England",68,123,England
475,private ownership,"Ipsden, Green Hill","Oxfordshire, England",38.7,9.3,England
476,Hull Museum KINCM : 1980.562 (formerly M1),Scackleton,"North Yorkshire, England",122,340,England
479,Worthing Museum and Art Gallery WOTMG : 582,Selsey,"West Sussex, England",157,552.8,England
481,British Museum BM : WG.1811,Langton Wold,"North Yorkshire, England",123,220.5,England
482,British Museum BM : WG.1792,Kettering,"Northamptonshire, England",152,608.9,England
484,British Museum BM : WG.1810,Knapton,"North Yorkshire, England",131,303.5,England
487,lost (formerly Liverpool Museum M6982),Lincoln (River Witham),"Lincolnshire, England",135,283.5,England
490,"Weston Park Museum, Sheffield SHEFG : J93.478","Scarborough (near, on the moor)","North Yorkshire, England",98,191,England
495,Yorkshire Museum YORYM : 1105.1948,Thwing,"East Yorkshire, England",142,361,England
498,"British Museum BM : 1980,0302.1","Walton-on-the-Hill, Walton Heath","Surrey, England",162.5,536.9,England
501,"British Museum BM : 1906,0702.1","Battersea (opposite Prices Candle Works, River Thames)","Greater London, England",183,848.8,England
502,British Museum BM : WG.1727,Kingston (River Thames),"Greater London, England",135,436,England
504,"British Museum BM : 1960,1107.3",Lewes,"East Sussex, England",129.5,437.3,England
510,British Museum BM : WG.1793,Littleport,"Cambridgeshire, England",104,220.6,England
511,"Museum of Archaeology and Anthropology, Cambridge CAMAA : 1911.210 (1911.504)",Burwell Fen,"Cambridgeshire, England",145,609,England
512,"Museum of Archaeology and Anthropology, Cambridge CAMAA : Z 4276 (1913.184)",Burwell Fen,"Cambridgeshire, England",114.5,228,England
513,private ownership,Burwell Fen?,"Cambridgeshire, England",126,262,England
514,"British Museum BM : 1866,0627.9",Exning,"Suffolk, England",120,371,England
518,"Museum of Archaeology and Anthropology, Cambridge CAMAA : Z 30951",Fordham,"Cambridgeshire, England",142.5,355,England
521,"British Museum BM : 1927,0713.1","Etchingham (Burwash), Shoyswell Manor","East Sussex, England",81.5,176.9,England
522,Maidstone Museum MNEMG : 1921.1.A,"Aylesford, Parish Field Gravel Pit","Kent, England",206,978,England
525,private ownership,"Feltwell Fen, Little Oulsham (Context 2)","Norfolk, England",106,202.3,England
527,"Ashmolean Museum, Oxford OXFAS : 1927.2360",Mildenhall,"Suffolk, England",160,523,England
528,"Ashmolean Museum, Oxford OXFAS : 1927.2361",Mildenhall,"Suffolk, England",153.3,529.7,England
529,"Ashmolean Museum, Oxford OXFAS : 1927.2359",Eriswell,"Suffolk, England",142,727,England
532,"Ashmolean Museum, Oxford OXFAS : 1927.2366","Icklingham, Site of British Village","Suffolk, England",98,287.9,England
533,Norwich Castle Museum NWHCM : 1894.76.750,"unprovenanced, Norfolk","Norfolk, England",115,312,England
535,Norwich Castle Museum NWHCM : 1965.83,"East Bradenham, Leys Farm","Norfolk, England",113.5,293.5,England
537,Ipswich Museum IPSMG : 1920.51.1,"unprovenanced, Suffolk","Suffolk, England",132,613,England
539,Norwich Castle Museum NWHCM : 1894.76.749,Cawston,"Norfolk, England",94,257,England
540,Norwich Castle Museum NWHCM : 1929.12,"Cringleford, Colney Lane, Tudor Hill","Norfolk, England",137.5,410.5,England
541,Norwich Castle Museum NWHCM : 1924.64,"West Runton, Church Farm (opposite West Runton Church)","Norfolk, England",125,446.5,England
542,private ownership,Swardeston,"Norfolk, England",50,30.3,England
545,British Museum BM : WG.1800,Pont Caradog / Brithdir,"Caerphilly, Wales",168,527.8,Wales
546,British Museum BM : WG.1801,Pont Caradog / Brithdir,"Caerphilly, Wales",167,576.5,Wales
547,British Museum BM : WG.1802,Pont Caradog / Brithdir,"Caerphilly, Wales",131,374.8,Wales
548,British Museum BM : WG.1794,"Lockton, Pickering","North Yorkshire, England",83,143.9,England
549,British Museum BM : WG.1791,Wallsend,"North Tyneside, England",139,431.3,England
550,British Museum BM : WG.1789,"Newbiggin-by-Sea, Church Point","Northumberland, England",126,279.6,England
551,British Museum BM : WG.1790,Stamfordham,"Northumberland, England",127,292.3,England
552,British Museum BM : WG.1805,"Willerby, Wold Farm Greenwell barrow 235","North Yorkshire, England",165,657.8,England
553,British Museum BM : WG.1788,"Newbiggin-by-Sea, Church Point","Northumberland, England",123,344.6,England
554,British Museum BM : WG.1803,"Stamfordham, Sherburn Carr","Northumberland, England",153,382.6,England
555,National Museums Scotland NMS : DA 98,Doon (Doune) Hill,"East Lothian, Scotland",123,455,Scotland
556,Stranraer Museum WIWMS : 1964.7,Knock and Maize,"Dumfries and Galloway, Scotland",137,580,Scotland
558,University of Aberdeen (formerly Marischal Museum) ABDUA : 247.4,"unprovenanced, Aberdeenshire","Aberdeenshire, Scotland",150,830,Scotland
